InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX03576,CYP3A4,D02745,DEXTROMETHORPHAN POLISTIREX,rxcui:236146,,,0.01824797209133303,9187528|23665933|12151071,PharmGKB|NCI
IX03577,CYP3A4,D02746,DANTROLENE,rxcui:3105,,,0.01297633570939237,22931300,DTC
IX03578,CYP3A4,D02747,CHEMBL:CHEMBL1269022,chembl:CHEMBL1269022,,,0.01167870213845313,,DTC
IX03579,CYP3A4,D02748,ETHAVERINE HYDROCHLORIDE,rxcui:235229,,,0.05839351069226569,,DTC
IX03580,CYP3A4,D02184,DICLOFENAC SODIUM,rxcui:203214,,,0.003434912393662687,22931300,DTC
IX03581,CYP3A4,D02749,LY-255283,chembl:CHEMBL15766,,,0.01459837767306642,,DTC
IX03582,CYP3A4,D00103,FENOFIBRATE MICRONIZED,rxcui:221100,,,0.004491808514789669,22931300,DTC
IX03583,CYP3A4,D02750,ERIBULIN MESYLATE,rxcui:1045452,,,0.004866125891022141,18431572,NCI
IX03584,CYP3A4,D02751,AM404,iuphar.ligand:12556,,,0.0083419300988951,,DTC
IX03585,CYP3A4,D02752,CHEMBL:CHEMBL184074,chembl:CHEMBL184074,,,0.01459837767306642,,DTC
IX03586,CYP3A4,D00770,PROGESTERONE,rxcui:8727,,,0.001979441040415786,22931300,DTC
IX03587,CYP3A4,D02753,CHEMBL:CHEMBL538965,chembl:CHEMBL538965,,,0.01459837767306642,,DTC
IX03588,CYP3A4,D02754,(S)-FELODIPINE,chembl:CHEMBL428768,,,0.01459837767306642,,DTC
IX03589,CYP3A4,D02755,SILDENAFIL,rxcui:136411,,,0.02123400388809661,33262574|28440343,DTC|PharmGKB
IX03590,CYP3A4,D02756,SANGUINARINE SULFATE,chembl:CHEMBL1565133,,,0.004491808514789669,,DTC
IX03591,CYP3A4,D00184,CLOZAPINE,rxcui:2626,,,0.003611969733542207,17504220|22931300|23297297,NCI|DTC|PharmGKB
IX03592,CYP3A4,D02412,HYDROXYUREA,rxcui:5552,,,0.005561286732596732,17180388,NCI
IX03593,CYP3A4,D02757,"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",drugbank:DB08039,,,0.00243306294551107,,DTC
IX03594,CYP3A4,D01978,CHEMBL:CHEMBL484663,chembl:CHEMBL484663,,,0.007299188836533211,,DTC
IX03595,CYP3A4,D02758,2-MERCAPTOBENZIMIDAZOLE,chembl:CHEMBL70141,,,0.01946450356408856,,DTC
IX03596,CYP3A4,D02759,DERRUSTONE,chembl:CHEMBL252721,,,0.05839351069226569,,DTC
IX03597,CYP3A4,D02760,IPRATROPIUM CATION,rxcui:1546373,,,0.009732251782044283,22931300,DTC
IX03598,CYP3A4,D02761,PENTAMETHYLQUERCETIN,chembl:CHEMBL19032,,,0.05839351069226569,,DTC
IX03599,CYP3A4,D02762,2-METHYL GRAMINE,chembl:CHEMBL1354316,,,0.05839351069226569,,DTC
IX03600,CYP3A4,D02763,DEQUALINIUM CHLORIDE,rxcui:3120,,,0.01167870213845313,,DTC
IX03601,CYP3A4,D02764,ZOLANTIDINE,chembl:CHEMBL419296,,,0.01946450356408856,,DTC
IX03602,CYP3A4,D02765,AZATHIOPRINE,rxcui:1256,,,0.003073342668013983,22931300,DTC
IX03603,CYP3A4,D00157,QUETIAPINE FUMARATE,rxcui:221153,,,0.001622041963674046,,DTC
IX03604,CYP3A4,D02766,ALAPROCLATE,ncit:C72685,,,0.05839351069226569,,DTC
IX03605,CYP3A4,D00942,CAPTAN,rxcui:1368147,,,0.004491808514789669,,DTC
IX03606,CYP3A4,D02767,HEXACHLOROPHENE,rxcui:5293,,,0.001424231968104041,,DTC
IX03607,CYP3A4,D02768,CHEMBL:CHEMBL228132,chembl:CHEMBL228132,,,0.02919675534613284,,DTC
IX03608,CYP3A4,D02769,PRAZOSIN HYDROCHLORIDE,rxcui:203210,,,0.005839351069226569,,DTC
IX03609,CYP3A4,D02770,BUTYLATED HYDROXYTOLUENE,rxcui:1848,,,0.01297633570939237,22931300,DTC
IX03610,CYP3A4,D02771,RELCOVAPTAN,ncit:C1497,,,0.006488167854696187,,DTC
IX03611,CYP3A4,D02772,GLABRANIN,chembl:CHEMBL253998,,,0.01946450356408856,,DTC
IX03612,CYP3A4,D02773,PODOFILOX,rxcui:8463,,,0.00243306294551107,,DTC
